0.46025	-0.19537	0.86603
0.47815	-0.14619	0.86603
0.56219	-0.31163	0.76604
0.59169	-0.25116	0.76604
0.62751	-0.43939	0.64279
0.67	-0.37139	0.64279
0.6536	-0.56816	0.5
0.70941	-0.49673	0.5
0.64087	-0.68725	0.34202
0.7092	-0.61649	0.34202
0.92243	-0.1793	0.34202
0.93612	-0.0819	0.34202
0.22153	-0.95957	0.17365
0.59267	-0.7865	0.17365
0.67164	-0.72024	0.17365
0.94178	-0.28793	0.17365
0.96671	-0.18791	0.17365
0.12187	-0.99255	6.1232e-17
0.51504	-0.85717	6.1232e-17
0.60182	-0.79864	6.1232e-17
0.9205	-0.39073	6.1232e-17
0.9563	-0.29237	6.1232e-17
0.017187	-0.98466	-0.17365
0.4162	-0.89254	-0.17365
0.50721	-0.84415	-0.17365
0.86133	-0.47744	-0.17365
0.90652	-0.3848	-0.17365
0.30593	-0.8885	-0.34202
0.39713	-0.85165	-0.34202
0.19481	-0.84383	-0.5
0.28195	-0.81884	-0.5
