-89.5799512435714	-89.9706246628252	-89.7366497717861	-89.2514051631648	-88.998464170426	-89.1318647642836	-89.4081389778736	-89.3384099560545	-88.7424789251789	-87.9807534125844	-87.3938578196973	-86.9798416700905	-86.4965034834956	-85.7409191853018	-84.7631521995248	-83.7593750368068	-82.8715769701444	-82.1392905900657	-81.5443685509894	-81.0593713014324	-80.6721923525816	-80.388171864024	-80.220695511657	-80.1810256825314	-80.2722724233276	-80.4879603422083	-80.8149084200955	-81.2406652880972	-81.7640366745614	-82.4020630144532	-83.1823491876362	-84.1124161768091	-85.1303587563637	-86.0749950067415	-86.7683779728613	-87.2139080578115	-87.6292913578495	-88.2062719554732	-88.8847374024579	-89.3431170973292	-89.3608253880671	-89.1713562752036	-89.156893557867	-89.4419405714708	-89.7979212159861	-89.795888568946	-89.2558946538872	-88.4226652104199	-87.6102677545842	-86.9730221050166	-86.5343132087568	-86.2629610481886	-86.1197748558358	-86.0783372373322	-86.1324782792039	-86.2978579510618	-86.6098892308801	-87.1144512361535	-87.8407488899674	-88.7384342754325	-89.5799512435714
-90.6802533330755	-91.683986151084	NaN	NaN	NaN	NaN	NaN	-91.2957777689157	-90.0975823804689	-89.0632213696133	-88.180868277809	-87.576775384613	-87.3577840302984	-87.5382218642452	-88.0622932347504	-87.3719863944107	-85.6150826990239	-83.561945388004	-81.7089017644708	-80.2536816648944	-79.1966260145083	-78.4900253237558	-78.0979466423736	-78.004424585617	-78.206476604051	-78.7110836236215	-79.5402001622613	-80.7340158216706	-82.3283703848561	-84.269481740059	-86.2620607356116	-87.8182653605472	-88.9063276909073	-90.1630639708185	-91.9981518655552	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-91.218606813022	-90.5917730945304	-90.4992490891763	-90.1423396553428	-89.3028739030973	-88.344542307948	-87.5916506835962	-87.1555783707827	-87.0470141623012	-87.2671913830856	-87.8292093968616	-88.7109372302583	-89.7293338108894	-90.4483854607271	-90.5829947313574	-90.6802533330755
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-89.5939414281389	-87.7591752147158	-86.7717713145316	-86.4316211710361	-86.695684675867	-87.6209700988079	-89.3396957138584	-88.4102463917169	-86.7480414272404	-84.9951367882132	-82.764203801529	-80.6160224413895	-79.0191120380088	-78.1081850087482	-77.8875320162253	-78.3502078884383	-79.4988416137029	-81.2888261285973	-83.4748868929057	-85.5203806003919	-87.1909862260431	-89.2026046492702	-91.2984560067164	-90.7843096989954	-90.8789189715486	-91.4787676885934	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-91.278599378616	-90.2492509042655	-90.1653487037566	-90.2494624413872	-90.1162692852956	-89.9026440966165	-89.8435992924488	-90.0059150616747	-90.245424324868	-90.2862144880525	-90.1336924671972	-90.4210647036609	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-90.5107009223727	-87.9333643724864	-86.3639236194524	-85.5557954351187	-85.2924478583483	-85.47622891316	-86.1836960152469	-87.5444793483182	-89.6608024572378	NaN	-86.5902534080723	-82.656364577216	-80.291263866528	-78.9548852861493	-78.3097608501127	-78.163164911539	-78.4700867596926	-79.3389243770877	-81.0192366764856	-83.7367252865588	-87.7314224620009	NaN	-90.3047722965432	-89.2368546061422	-88.831858269659	-88.9175611168246	-89.4942316416198	-90.8486960427743	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-89.7469119459845	-88.193141869149	-87.7951389270311	-87.8206075896647	-87.851452020555	-87.7870126056939	-87.8423811534281	-88.5762227537304	-90.8558668946385	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-87.724008621108	-84.2343213813221	-81.8093438629348	-80.1527964067715	-79.1647785615477	-78.8277170216381	-79.1201652308438	-80.0237004250157	-81.5093061909708	-83.5727119550047	-86.0091687729043	-80.7739889744801	-77.2350563413466	-74.9466071826816	-73.5372602333187	-72.8038846756799	-72.6484274304499	-73.0476570749416	-74.0504913221504	-75.7977595271967	-78.4566559367658	-82.1450835137894	-86.3294623277075	-84.4312771109283	-83.1769313292244	-82.6305805440213	-82.751498696539	-83.5501467854008	-85.0079651064824	-87.1042374856542	-90.1400254803497	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-91.6600352073677	NaN	NaN	-90.6778666331266	-88.5465361827889	-88.0449855185551	-89.1622084730558	-91.7639313812498	NaN	NaN	-91.9326149699338	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	-89.0204087709283	-85.1938845618975	-81.8365691001265	-78.9175754803258	-76.6462889569355	-75.2306138710544	-74.7502603212598	-75.2076695154339	-76.5480411634359	-78.5886449620861	-80.8840439233252	-80.0736737529346	-76.0799826751148	-72.9822414700578	-70.5667992635904	-68.8149563649511	-67.8017092445511	-67.5739024333974	-68.1365650899959	-69.4557334458544	-71.4590507343982	-74.0876819254846	-77.2648887457528	-81.3958605306457	-81.2912483975425	-79.5272847238079	-78.7223956050826	-78.8916804865994	-80.0350690509264	-82.0891907853894	-84.8702010047811	-88.1084453948605	-91.6032858483461	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-89.848498901143	-88.1105303466905	-87.5802210874174	-87.479384411665	-87.6210979826441	-88.4563155274286	-90.8738232781584	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	-91.346863529197	-88.7166440843925	-84.9582692237249	-81.0877544086104	-77.4677510900621	-74.6978899885193	-73.0182535667791	-72.4544471005478	-72.9923119965436	-74.600447836762	-77.1296331104122	-79.936960368155	-78.7887215524347	-75.0472111139902	-71.4729564245565	-68.315218619796	-65.9748725320085	-64.6354570580413	-64.3319471907649	-65.0639859425975	-66.8156307545911	-69.4386014166077	-72.5729965930574	-76.1249991044734	-79.9318297794226	-79.6314447151885	-77.570472228854	-76.6354441984325	-76.8224149713981	-78.1343474178455	-80.5671500151098	-83.9502599024368	-87.6977213023877	-91.3582886268785	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-91.9195240827826	-91.790133154242	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	-91.3383771607928	-88.764556529729	-84.9143258180736	-80.9184065182764	-77.2665093292288	-74.5153260003536	-72.8520881520849	-72.2898166497057	-72.8151175383507	-74.4043511746392	-76.9478331203854	-79.9756893870585	-78.8877091763682	-74.9625140998385	-70.936065828516	-67.4067538926354	-64.8578624535066	-63.4181265227499	-63.0882528740977	-63.861438779847	-65.7402755938405	-68.5268769241713	-72.0374222431971	-76.0192592060031	-79.9873403523157	-79.6051992231191	-77.5988638548266	-76.6850098332294	-76.8602657229631	-78.126909659151	-80.4846159377754	-83.8042998987814	-87.604500879956	-91.4010850648448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-91.0934121490944	-88.5744406713942	-86.7994752857892	-86.381702913418	-87.3315498777411	-89.5452012305121	-91.8021535221115	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	-89.0816138669127	-85.1268483254808	-81.4614126813465	-78.3360793103145	-76.0193153654658	-74.614279425674	-74.1317485239485	-74.5641616660973	-75.8956826963292	-78.0635955889062	-80.8644300537202	-78.8194265449897	-74.9063841551304	-71.1273174614761	-67.9102580304113	-65.5902635486984	-64.2711487923737	-63.9629891299633	-64.6626837462212	-66.3670668087793	-68.9807575169279	-72.20311948076	-75.9955478772564	-80.0025652707332	-81.1321444547015	-79.4623750082685	-78.7009862063186	-78.8396238177257	-79.8841586556356	-81.8358819295758	-84.6518843293123	-88.1381462750963	-91.9507858928741	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-91.0760929020846	-89.984644011346	-89.6809009670223	-90.2740179286594	-91.6833345498932	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-87.5599629925739	-83.894523556716	-81.1385903587835	-79.2313648921257	-78.1161560452727	-77.7372964384104	-78.0696231141995	-79.1344017399812	-80.9657324490535	-83.5624546874731	-80.0021972417926	-75.935477893252	-72.5212337640191	-69.838949451668	-67.9645782912491	-66.9095424681226	-66.6591665282033	-67.2091203435751	-68.573233029398	-70.7664155148906	-73.6156097585611	-77.1230498278334	-81.3350362756052	-84.4479067374503	-83.0943332821747	-82.4985500831166	-82.6086869576915	-83.4415239733068	-85.0525211242023	-87.5090210321563	-90.9345401451092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-91.339397766983	-90.158713024411	-89.9233998825387	-89.9922133479567	-90.1889897520426	-90.906215352052	NaN	NaN	NaN	NaN	NaN
