0.39932	0.30091	0.86603
-0.22397	-0.73257	0.64279
0.69427	0.32374	0.64279
-0.57814	0.50257	0.64279
-0.62751	0.43939	0.64279
-0.33838	-0.79718	0.5
0.81884	0.28195	0.5
-0.59063	0.63337	0.5
-0.6536	0.56816	0.5
-0.45557	-0.82187	0.34202
0.91561	0.21138	0.34202
0.8885	0.30593	0.34202
-0.11452	0.93269	0.34202
-0.56552	0.75047	0.34202
-0.64087	0.68725	0.34202
-0.98466	-0.017187	0.17365
-0.56486	-0.80671	0.17365
-0.47744	-0.86133	0.17365
0.97747	0.12002	0.17365
0.95957	0.22153	0.17365
-0.017187	0.98466	0.17365
-0.50721	0.84415	0.17365
-0.59267	0.7865	0.17365
-0.94178	0.28793	0.17365
-0.96671	0.18791	0.17365
-0.98466	-0.017187	0.17365
-0.65606	-0.75471	6.1232e-17
-0.57358	-0.81915	6.1232e-17
0.81915	-0.57358	6.1232e-17
0.99985	0.017452	6.1232e-17
0.99255	0.12187	6.1232e-17
0.79864	0.60182	6.1232e-17
0.087156	0.99619	6.1232e-17
-0.017452	0.99985	6.1232e-17
-0.42262	0.90631	6.1232e-17
-0.51504	0.85717	6.1232e-17
-0.9205	0.39073	6.1232e-17
-0.9563	0.29237	6.1232e-17
-0.99985	-0.017452	6.1232e-17
-0.72024	-0.67164	-0.17365
-0.64609	-0.74324	-0.17365
0.74324	-0.64609	-0.17365
0.98106	-0.085832	-0.17365
0.98466	0.017187	-0.17365
0.84415	0.50721	-0.17365
0.18791	0.96671	-0.17365
0.085832	0.98106	-0.17365
-0.32062	0.93115	-0.17365
-0.4162	0.89254	-0.17365
-0.75047	-0.56552	-0.34202
0.92243	-0.1793	-0.34202
-0.21138	0.91561	-0.34202
-0.30593	0.8885	-0.34202
-0.19481	0.84383	-0.5
