0.01	-1
0.02	-1
0.03	-1
0.04	-1
0.05	-1
0.06	-1
0.07	-1
0.08	-0.57918
0.09	-0.70301
0.1	41.752
0.11	15.448
0.12	-1
0.13	-1
0.14	-1
0.15	-1
0.16	-1
0.17	-1
0.18	13.808
0.19	-0.93075
0.2	33.828
0.21	28.289
0.22	-0.22828
0.23	-1
0.24	-1
0.25	-1
0.26	0.39242
0.27	21.98
0.28	3.8918
0.29	0.67889
0.3	-0.766
0.31	4.5201
0.32	1.0888
0.33	-0.41123
0.34	1.0859
0.35	4.8684
0.36	12.95
0.37	8.2143
0.38	-1
0.39	-0.16842
0.4	2.3347
0.41	8.1206
0.42	0.80016
0.43	-0.493
0.44	2.7556
0.45	3.1983
0.46	2.0828
0.47	3.3894
0.48	-1
0.49	-0.48137
0.5	-0.87336
0.51	0.92566
0.52	0.26328
0.53	3.0775
0.54	5.6468
0.55	2.8347
0.56	0.91438
0.57	0.51772
0.58	-1
0.59	-0.45848
0.6	-0.46097
0.61	2.1431
0.62	2.0572
0.63	2.1184
0.64	-0.58554
0.65	0.94856
0.66	-0.072352
0.67	0.43315
0.68	-0.55384
0.69	-0.69341
0.7	-0.84319
0.71	1.4284
0.72	1.4533
0.73	1.9998
0.74	-0.4117
0.75	0.64082
0.76	-0.30785
0.77	-0.60354
0.78	-0.83011
0.79	-0.25496
0.8	-0.17284
0.81	1.1562
0.82	-0.33729
0.83	0.43125
0.84	-0.9026
0.85	0.44932
0.86	-0.48337
0.87	-0.49797
0.88	-0.61959
0.89	0.45711
0.9	-0.37843
0.91	-0.67505
0.92	-0.13925
0.93	0.39487
0.94	-0.66659
0.95	-0.013645
0.96	-0.21244
0.97	-0.78489
0.98	-0.061485
0.99	-0.47421
1	-0.22865
1.01	-0.76513
1.02	-0.27405
1.03	-0.3131
1.04	-0.58686
1.05	-0.40796
1.06	0.13553
1.07	-0.43807
1.08	-0.12424
1.09	-0.82641
1.1	-0.66183
1.11	-1
1.12	-0.24936
1.13	-0.21886
1.14	-0.83401
1.15	0.11826
1.16	-0.050256
1.17	-0.40115
1.18	-0.5679
1.19	-0.89369
1.2	-0.60607
1.21	-0.71628
1.22	-0.28269
1.23	-0.42324
1.24	-0.82004
1.25	-0.36605
1.26	0.28549
1.27	-0.37121
1.28	-0.63132
1.29	-0.95285
1.3	-0.38931
1.31	-0.75079
1.32	-0.39165
1.33	-0.88852
1.34	0.042781
1.35	-0.98045
1.36	0.6736
1.37	0.0068469
1.38	-0.94366
1.39	-0.75564
1.4	-0.40603
1.41	-0.0035502
1.42	-1
1.43	-0.91293
1.44	0.043319
1.45	-0.84279
1.46	-0.2517
1.47	1.0572
1.48	-0.70083
1.49	-0.80874
1.5	-0.37563
1.51	-0.046936
1.52	-0.97623
1.53	-0.46759
1.54	-0.22591
1.55	-0.74933
1.56	-0.33391
1.57	1.2829
1.58	-0.35532
1.59	-0.9113
1.6	-0.4647
1.61	-0.024519
1.62	-0.97442
1.63	-0.49684
1.64	0.14548
1.65	-0.88899
1.66	-0.6538
1.67	1.3777
1.68	-0.26268
1.69	-0.91304
1.7	0.46863
1.71	-0.94116
1.72	-0.99432
1.73	-0.29722
1.74	-0.11505
1.75	-0.74502
1.76	-0.91267
1.77	-0.0095361
1.78	0.7225
1.79	-0.94927
1.8	0.46092
1.81	-0.85138
1.82	-0.67452
1.83	-0.73342
1.84	-0.18082
1.85	-0.87742
1.86	-0.66731
1.87	-0.56702
1.88	0.56005
1.89	-0.074283
